Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
5-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2252
6-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2345
7-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2410
8-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2433
9-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2394
10-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2264
11-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2408
12-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2316
13-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2144
14-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2224
15-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2238
16-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2158
17-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2134
18-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2254
19-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2303
20-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2344
21-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2450
22-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2456
23-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2392
24-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2359
25-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2390
26-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2353
27-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2297
28-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2253
29-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2249
30-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2121
